-161.02741940699067,	5.2167577413	,
-153.6600704885699,	0.4080145719	,
-141.8669770750477,	3.8178506375	,
-128.90823552235912,	2.2149362477	,
-116.13703236654058,	3.9927140255	,
-104.39163190739484,	0.262295082	,
-93.29210722022827,	0.174863388	,
-83.18847608885443,	2.0400728597	,
-66.33588773563554,	2.2440801457	,
-56.06735215184142,	1.1366120219	,
-34.3290652180942,	9.2677595628	,
-20.571668768390083,	9.2677595628	,
-10.660426164839805,	14.6010928962	,
-2.3917612442202767,	17.5446265938	,
12.614543926019365,	3.0309653916	,
23.693051379053912,	3.3224043716	,
37.84896692210694,	4.1384335155	,
49.056811200569115,	2.0983606557	,
60.24202153458148,	0.4663023679	,
73.40042681152394,	3.2641165756	,
86.32845086817346,	2.2149362477	,
98.13932809519193,	5.3041894353	,
110.28324764768652,	2.3897996357	,
121.39408930707802,	2.0983606557	,
134.81278494519356,	0.204007286	,
147.62117243832253,	1.3114754098	,
159.10628253629514,	2.2732240437	,
169.78142076502732,	1.8360655738	,
181.08707601771917,	6.0327868852	,
