-90.22284871133107,	41.0434085965	,
-80.18933267078731,	29.5252485815	,
-70.44559601255457,	31.4810439156	,
-60.191512988099525,	19.2609231362	,
-50.04467115237376,	26.8303763836	,
-40.27279318929719,	23.5931629305	,
-30.331306821350893,	29.0575451655	,
-20.182943834011937,	36.3462952352	,
-10.272641074135876,	47.5650926128	,
9.45593477301881,	46.9852296178	,
19.61342467003685,	52.5897606214	,
29.78536550738012,	55.527611437	,
39.96415152698266,	57.202297953	,
49.71321221586153,	58.1756321653	,
59.90568859998275,	57.3239900821	,
69.90117585019696,	52.8234095092	,
79.94381880041983,	39.6210304281	,
89.69896409575138,	39.4715519296	,
